question,type,database
List the titles of movies that feature a specific actor and actress together.,Evaluation query,recommendations
What is the name of the director who has directed the most movies with a specific genre combination?,Evaluation query,recommendations
What is the average budget of movies that have grossed over $1 billion worldwide?,Evaluation query,recommendations
List the names of all actors who have starred in a movie adaptation of a Shakespeare play.,Evaluation query,recommendations
What is the average rating for movies that have been nominated for the Academy Award for Best Original Screenplay?,Evaluation query,recommendations
"Which movie has the highest IMDB rating in the ""Horror"" genre?",Evaluation query,recommendations
List the names of all directors who have directed a movie that won an Oscar for Best Foreign Language Film.,Evaluation query,recommendations
What is the average runtime of movies that have been adapted from comic books?,Evaluation query,recommendations
Which actor has the most movies with an IMDB rating above 8.0?,Evaluation query,recommendations
List the titles of movies that were filmed in a specific location.,Evaluation query,recommendations
What is the name of the director who has directed the most movies with a specific actor?,Evaluation query,recommendations
What is the average budget of movies that have been nominated for the Academy Award for Best Picture and Best Director?,Evaluation query,recommendations
List the names of all actors who have won both an Oscar and a Golden Globe award.,Evaluation query,recommendations
What is the total number of movies released by each production company?,Evaluation query,recommendations
What is the average rating for movies that have won the Golden Lion at the Venice Film Festival?,Evaluation query,recommendations
Which movie has the highest box office gross on its opening weekend?,Evaluation query,recommendations
List the names of all directors who have directed a movie that has been selected for preservation in the United States National Film Registry.,Evaluation query,recommendations
What is the average runtime of movies that have been nominated for the Academy Award for Best Adapted Screenplay?,Evaluation query,recommendations
Which actor has the most movies in a specific genre?,Evaluation query,recommendations
List the titles of movies that feature a specific song on their soundtrack.,Evaluation query,recommendations
What is the name of the director who has the highest average IMDB rating for their movies in a specific genre?,Evaluation query,recommendations
What is the average budget of movies that have been nominated for the Academy Award for Best Visual Effects?,Evaluation query,recommendations
List the names of all actors who have starred in both a superhero movie and a musical.,Evaluation query,recommendations
What is the total number of movies released in each month of the year?,Evaluation query,recommendations
What is the average rating for movies that have been nominated for the Academy Award for Best Original Score?,Evaluation query,recommendations
"Which movie has the highest IMDB rating in the ""Documentary"" genre?",Evaluation query,recommendations
List the names of all directors who have directed a movie that has won the Academy Award for Best Picture.,Evaluation query,recommendations
What movies have a revenue greater than 500 million and an IMDb rating above 8.0?,Multi-step Queries,recommendations
Which genres do movies with a runtime longer than 3 hours belong to?,Multi-step Queries,recommendations
What is the average runtime of movies released in the year 2000?,Multi-step Queries,recommendations
"List the movies directed by the director of the movie ""Toy Story"".",Multi-step Queries,recommendations
"What are the titles of movies that have the genre ""Adventure""?",Multi-step Queries,recommendations
Which actors have starred in movies with a budget greater than 200 million?,Multi-step Queries,recommendations
"Find all movies that share the same genres as ""Toy Story"".",Multi-step Queries,recommendations
"What is the highest-rated movie by users who also rated ""Toy Story""?",Multi-step Queries,recommendations
List the actors who have directed and acted in the same movie.,Multi-step Queries,recommendations
Find the movies that have more than 5 actors who acted in them.,Multi-step Queries,recommendations
What are the top 5 highest-grossing movies of all time?,Multi-step Queries,recommendations
List the directors who have directed movies in more than 3 different genres.,Multi-step Queries,recommendations
"What is the average rating given by users to movies in the ""Comedy"" genre?",Multi-step Queries,recommendations
Find the actors who have acted in movies directed by a director born before 1950.,Multi-step Queries,recommendations
"List all movies released in the year the user ""Omar Huffman"" was born.",Multi-step Queries,recommendations
What is the total revenue generated by movies released in the 1990s?,Multi-step Queries,recommendations
Find the movies that have been rated by more than 100 users.,Multi-step Queries,recommendations
List the actors who have starred in movies with a runtime longer than their lifespan.,Multi-step Queries,recommendations
What is the average IMDb rating of movies directed by directors born in the USA?,Multi-step Queries,recommendations
"Find all movies that have the same languages as ""Toy Story"".",Multi-step Queries,recommendations
"What is the name of the user who gave the highest rating to the movie ""Toy Story""?",Multi-step Queries,recommendations
Find the actors who have acted in movies that have won an Oscar for Best Picture.,Multi-step Queries,recommendations
What is the average budget of movies that have won an Oscar for Best Director?,Multi-step Queries,recommendations
List the directors who have directed movies with a runtime longer than 3 hours.,Multi-step Queries,recommendations
What is the name of the movie with the highest IMDb rating that was released before 1950?,Multi-step Queries,recommendations
Find the movies that have been directed by directors who have also acted in them.,Multi-step Queries,recommendations
List all movies that have a runtime between 90 and 120 minutes.,Multi-step Queries,recommendations
What is the name of the actor who has acted in the most movies?,Multi-step Queries,recommendations
"Find the movies that have been released in the same year as ""Toy Story"".",Multi-step Queries,recommendations
List all movies that have won an Oscar for Best Original Screenplay.,Multi-step Queries,recommendations
"What is the name of the director who has directed the most movies in the ""Action"" genre?",Multi-step Queries,recommendations
"Find the movies that have been rated by users who have also rated ""The Shawshank Redemption"".",Multi-step Queries,recommendations
List all movies that have a revenue greater than their budget.,Multi-step Queries,recommendations
What is the name of the actor who has the highest average IMDb rating for their movies?,Multi-step Queries,recommendations
"Find the movies that have been directed by directors born in the same country as ""Steven Spielberg"".",Multi-step Queries,recommendations
List all movies that have won an Oscar for Best Cinematography.,Multi-step Queries,recommendations
What is the name of the movie with the lowest IMDb rating that was released after 2000?,Multi-step Queries,recommendations
Find the movies that have been acted in by actors who have also directed movies.,Multi-step Queries,recommendations
List all movies that have a budget greater than 200 million and a runtime less than 2 hours.,Multi-step Queries,recommendations
What is the name of the director who has won the most Oscars for Best Director?,Multi-step Queries,recommendations
Find the movies that have been released in the same year that a user rated a movie.,Multi-step Queries,recommendations
List all movies that have won an Oscar for Best Film Editing.,Multi-step Queries,recommendations
What is the name of the movie with the highest box office revenue that was released in the 1980s?,Multi-step Queries,recommendations
Find the movies that have been directed by directors who have also won an Oscar for Best Actor.,Multi-step Queries,recommendations
List all movies that have a runtime longer than 3 hours and have won an Oscar for Best Picture.,Multi-step Queries,recommendations
"What is the name of the actor who has the highest average rating for their movies in the ""Comedy"" genre?",Multi-step Queries,recommendations
Find the movies that have been released in the same country as the user who rated the movie.,Multi-step Queries,recommendations
List all movies that have won an Oscar for Best Costume Design.,Multi-step Queries,recommendations
What is the name of the movie with the lowest IMDb rating that was directed by a director born in the USA?,Multi-step Queries,recommendations
Find the movies that have been acted in by actors who have also been nominated for an Oscar for Best Actor.,Multi-step Queries,recommendations
List all movies that have a budget greater than 100 million and a revenue less than 50 million.,Multi-step Queries,recommendations
What is the name of the director who has directed the most movies with an IMDb rating above 8.0?,Multi-step Queries,recommendations
Find the movies that have been released in the same year as the movie with the highest IMDb rating.,Multi-step Queries,recommendations
List all movies that have won an Oscar for Best Makeup and Hairstyling.,Multi-step Queries,recommendations
What is the name of the movie with the highest box office revenue that was released in the 1990s?,Multi-step Queries,recommendations
"Find the movies that have been directed by directors who have also directed a movie with ""Tom Hanks"".",Multi-step Queries,recommendations
List all movies that have a runtime shorter than 90 minutes and have won an Oscar for Best Original Song.,Multi-step Queries,recommendations
"What is the name of the actor who has the most movies in the ""Action"" genre?",Multi-step Queries,recommendations
Find the movies that have been released in the same year as the movie with the lowest IMDb rating.,Multi-step Queries,recommendations
List all movies that have won an Oscar for Best Production Design.,Multi-step Queries,recommendations
What is the name of the movie with the highest box office revenue that was released in the 2000s?,Multi-step Queries,recommendations
"Find the movies that have been directed by directors who have also directed a movie with ""Leonardo DiCaprio"".",Multi-step Queries,recommendations
List all movies that have a runtime longer than 2.5 hours and have won an Oscar for Best Adapted Screenplay.,Multi-step Queries,recommendations
What is the name of the actor who has acted in movies with the highest total box office revenue?,Multi-step Queries,recommendations
Find the movies that have been released in the same year as the movie with the highest budget.,Multi-step Queries,recommendations
List all movies that have won an Oscar for Best Sound Mixing.,Multi-step Queries,recommendations
"What is the name of the movie with the lowest IMDb rating that was released in the same year as ""Toy Story""?",Multi-step Queries,recommendations
Find the movies that have been directed by directors who have also directed a movie nominated for Best Picture.,Multi-step Queries,recommendations
List all movies that have a budget greater than 150 million and have won an Oscar for Best Visual Effects.,Multi-step Queries,recommendations
What is the name of the director who has directed the most movies with a runtime longer than 2.5 hours?,Multi-step Queries,recommendations
Find the movies that have been released in the same year as the movie with the lowest budget.,Multi-step Queries,recommendations
List all movies that have won an Oscar for Best Original Score.,Multi-step Queries,recommendations
"What is the name of the movie with the highest IMDb rating that was released in the same year as ""The Shawshank Redemption""?",Multi-step Queries,recommendations
"Find the movies that have been directed by directors who have also directed a movie with ""Meryl Streep"".",Multi-step Queries,recommendations
List all movies that have a runtime shorter than 1.5 hours and have won an Oscar for Best Animated Feature.,Multi-step Queries,recommendations
"What are the titles of the top 5 questions tagged with ""graphql""?",Simple Retrieval Queries,buzzoverflow
"What is the average score of questions asked by the user with display name ""Christopher""?",Simple Retrieval Queries,buzzoverflow
List the titles of the first 3 questions asked by users with reputation greater than 1000.,Simple Retrieval Queries,buzzoverflow
"What are the display names of the users who asked questions with the tag name ""graphql""?",Simple Retrieval Queries,buzzoverflow
"What is the average number of upvotes for questions tagged with ""graphql""?",Simple Retrieval Queries,buzzoverflow
What is the link of the question with the highest score?,Simple Retrieval Queries,buzzoverflow
What are the titles of the questions asked by the user with id 2517012?,Simple Retrieval Queries,buzzoverflow
What is the text of the question with the lowest score?,Simple Retrieval Queries,buzzoverflow
What are the names of the tags associated with the question with id 62220732?,Simple Retrieval Queries,buzzoverflow
Find the questions with the most upvotes.,Simple Retrieval Queries,buzzoverflow
What is the average score for answered questions?,Simple Retrieval Queries,buzzoverflow
What is the average score for unanswered questions?,Simple Retrieval Queries,buzzoverflow
"What is the average number of downvotes for questions tagged with ""graphql""?",Simple Retrieval Queries,buzzoverflow
Which user has asked the most questions?,Simple Retrieval Queries,buzzoverflow
"What is the link of the user with the highest reputation that asked a question tagged with ""graphql""?",Simple Retrieval Queries,buzzoverflow
What is the title of the question with the oldest creation date?,Simple Retrieval Queries,buzzoverflow
What is the title of the question with the newest creation date?,Simple Retrieval Queries,buzzoverflow
Find the top 3 users with the highest reputation who asked questions.,Simple Retrieval Queries,buzzoverflow
What are the links of the top 3 questions with the highest number of favorites?,Simple Retrieval Queries,buzzoverflow
"What is the average reputation of users who asked questions tagged with ""graphql""?",Simple Retrieval Queries,buzzoverflow
"How many questions are tagged with ""graphql""?",Simple Retrieval Queries,buzzoverflow
How many users have asked questions with a score greater than 5?,Simple Retrieval Queries,buzzoverflow
What is the title of the question with the highest number of downvotes?,Simple Retrieval Queries,buzzoverflow
What is the display name of the user who asked the question with the lowest number of upvotes?,Simple Retrieval Queries,buzzoverflow
What is the average length of the text in all questions?,Simple Retrieval Queries,buzzoverflow
What is the id of the question with the shortest title?,Simple Retrieval Queries,buzzoverflow
What is the id of the question with the longest title?,Simple Retrieval Queries,buzzoverflow
Find the questions with the same score as the question with id 62220732.,Simple Retrieval Queries,buzzoverflow
"What is the average number of characters in the titles of questions tagged with ""graphql""?",Simple Retrieval Queries,buzzoverflow
What is the difference between the highest and lowest scores of questions?,Simple Retrieval Queries,buzzoverflow
Which tag is associated with the question with the highest score?,Simple Retrieval Queries,buzzoverflow
What is the total number of upvotes for all questions asked by users with reputation greater than 1000?,Simple Retrieval Queries,buzzoverflow
"How many questions were asked before June 5, 2020?",Simple Retrieval Queries,buzzoverflow
"How many questions were asked after June 5, 2020?",Simple Retrieval Queries,buzzoverflow
What is the average reputation of users who asked answered questions?,Simple Retrieval Queries,buzzoverflow
What is the average reputation of users who asked unanswered questions?,Simple Retrieval Queries,buzzoverflow
"What is the title of the question with the most favorites that is tagged with ""graphql""?",Simple Retrieval Queries,buzzoverflow
Which user asked the question with the most tags?,Simple Retrieval Queries,buzzoverflow
What is the average number of tags per question?,Simple Retrieval Queries,buzzoverflow
Find the questions that have more upvotes than downvotes.,Simple Retrieval Queries,buzzoverflow
Find the questions that have more downvotes than upvotes.,Simple Retrieval Queries,buzzoverflow
What is the difference in the number of questions asked by the user with the highest and lowest number of asked questions?,Simple Retrieval Queries,buzzoverflow
Which tag is associated with the most downvoted question?,Simple Retrieval Queries,buzzoverflow
What is the average score of questions asked in June 2020?,Simple Retrieval Queries,buzzoverflow
What is the total number of questions asked by users with a reputation less than 100?,Simple Retrieval Queries,buzzoverflow
"What is the display name of the user who asked the question with the highest score, tagged with ""graphql""?",Simple Retrieval Queries,buzzoverflow
Find the users who asked questions with more than 5 upvotes and less than 2 downvotes.,Simple Retrieval Queries,buzzoverflow
What is the average score of questions with a title length greater than 50 characters?,Simple Retrieval Queries,buzzoverflow
What is the average score of questions with a title length less than 50 characters?,Simple Retrieval Queries,buzzoverflow
Which tag is associated with the question with the most recent creation date?,Simple Retrieval Queries,buzzoverflow
Which tag is associated with the question with the oldest creation date?,Simple Retrieval Queries,buzzoverflow
Find the questions with the same number of upvotes as the question with id 62220505.,Simple Retrieval Queries,buzzoverflow
"What is the difference in reputation between the user with the highest and lowest reputation who asked a question tagged with ""graphql""?",Simple Retrieval Queries,buzzoverflow
"What is the total number of favorites for all questions tagged with ""graphql""?",Simple Retrieval Queries,buzzoverflow
How many questions have a score that is an even number?,Simple Retrieval Queries,buzzoverflow
How many questions have a score that is an odd number?,Simple Retrieval Queries,buzzoverflow
"What is the display name of the user who asked the question with the highest number of favorites, tagged with ""graphql""?",Simple Retrieval Queries,buzzoverflow
Find the users who have asked questions with at least one upvote and no downvotes.,Simple Retrieval Queries,buzzoverflow
"What is the average number of words in the text of questions tagged with ""graphql""?",Simple Retrieval Queries,buzzoverflow
What is the id of the question with the highest number of words in its title?,Simple Retrieval Queries,buzzoverflow
What is the id of the question with the lowest number of words in its title?,Simple Retrieval Queries,buzzoverflow
Find the questions with the same number of downvotes as the question with id 62220732.,Simple Retrieval Queries,buzzoverflow
What is the average number of characters in the text of questions asked by users with reputation greater than 1000?,Simple Retrieval Queries,buzzoverflow
What is the ratio of answered questions to unanswered questions?,Simple Retrieval Queries,buzzoverflow
Which tag is associated with the question with the lowest score?,Simple Retrieval Queries,buzzoverflow
What is the total number of downvotes for all questions asked by users with reputation less than 100?,Simple Retrieval Queries,buzzoverflow
"How many questions were asked on June 5, 2020?",Simple Retrieval Queries,buzzoverflow
"How many questions were asked before June 6, 2020?",Simple Retrieval Queries,buzzoverflow
What is the average reputation of users who asked questions with a score greater than 10?,Simple Retrieval Queries,buzzoverflow
What is the average reputation of users who asked questions with a score less than 10?,Simple Retrieval Queries,buzzoverflow
"What is the title of the question with the most downvotes that is tagged with ""graphql""?",Simple Retrieval Queries,buzzoverflow
Which user asked the question with the least number of tags?,Simple Retrieval Queries,buzzoverflow
What is the average number of characters per word in the text of all questions?,Simple Retrieval Queries,buzzoverflow
Find the questions that have the same number of upvotes and downvotes.,Simple Retrieval Queries,buzzoverflow
Find the questions that have no upvotes and no downvotes.,Simple Retrieval Queries,buzzoverflow
"What is the difference in the number of questions asked on June 5, 2020, and June 6, 2020?",Simple Retrieval Queries,buzzoverflow
Which tag is associated with the most upvoted question?,Simple Retrieval Queries,buzzoverflow
"What is the average score of questions asked by users with display names that start with the letter ""A""?",Simple Retrieval Queries,buzzoverflow
What is the total number of questions asked by users with a reputation greater than the average reputation of all users?,Simple Retrieval Queries,buzzoverflow
"What is the display name of the user who asked the question with the lowest score, tagged with ""graphql""?",Simple Retrieval Queries,buzzoverflow
Find the users who asked questions with more than 2 tags.,Simple Retrieval Queries,buzzoverflow
What is the average score of questions with a creation date in the first week of June 2020?,Simple Retrieval Queries,buzzoverflow
What is the average score of questions with a creation date in the second week of June 2020?,Simple Retrieval Queries,buzzoverflow
"Which tag is associated with the question with the most recent creation date, excluding questions tagged with ""graphql""?",Simple Retrieval Queries,buzzoverflow
"Which tag is associated with the question with the oldest creation date, excluding questions tagged with ""graphql""?",Simple Retrieval Queries,buzzoverflow
Find the questions with the same number of favorites as the question with id 62220505.,Simple Retrieval Queries,buzzoverflow
What is the difference in reputation between the user with the highest and lowest reputation who asked a question with a score greater than 5?,Simple Retrieval Queries,buzzoverflow
"What is the total number of characters in the text of all questions tagged with ""graphql""?",Simple Retrieval Queries,buzzoverflow
How many questions have a title length that is an even number of characters?,Simple Retrieval Queries,buzzoverflow
How many questions have a title length that is an odd number of characters?,Simple Retrieval Queries,buzzoverflow
"What is the display name of the user who asked the question with the lowest number of favorites, tagged with ""graphql""?",Simple Retrieval Queries,buzzoverflow
Find the users who have asked only one question.,Simple Retrieval Queries,buzzoverflow
"What is the average number of words in the titles of questions tagged with ""graphql""?",Simple Retrieval Queries,buzzoverflow
What is the id of the question with the highest number of words in its text?,Simple Retrieval Queries,buzzoverflow
What is the id of the question with the lowest number of words in its text?,Simple Retrieval Queries,buzzoverflow
Find the questions with the same score and the same number of tags as the question with id 62220732.,Simple Retrieval Queries,buzzoverflow
What questions have a score greater than 0 and are tagged with 'apollo'?,Complex Retrieval Queries,buzzoverflow
Which users have asked a question with a score greater than 5?,Complex Retrieval Queries,buzzoverflow
Find the top 5 questions with the highest score that are tagged with 'graphql'.,Complex Retrieval Queries,buzzoverflow
What is the average score of questions tagged with 'react-apollo'?,Complex Retrieval Queries,buzzoverflow
List the questions asked by the user with id 10251021.,Complex Retrieval Queries,buzzoverflow
What is the title of the question with the highest score?,Complex Retrieval Queries,buzzoverflow
Which tags are associated with the question with id 62224586?,Complex Retrieval Queries,buzzoverflow
"Find the questions created after June 5, 2020, with a score less than 0.",Complex Retrieval Queries,buzzoverflow
List the questions with the tag 'aws-lambda' and a score greater than -1.,Complex Retrieval Queries,buzzoverflow
Which user asked the question with the most upvotes?,Complex Retrieval Queries,buzzoverflow
What is the average number of downvotes for questions tagged with 'node.js'?,Complex Retrieval Queries,buzzoverflow
"Find the questions asked between June 5, 2020, and June 6, 2020, with a score of 0.",Complex Retrieval Queries,buzzoverflow
List the users who asked questions tagged with both 'graphql' and 'react-apollo'.,Complex Retrieval Queries,buzzoverflow
What is the total number of upvotes for questions tagged with 'apollo'?,Complex Retrieval Queries,buzzoverflow
Find the question with the most favorites.,Complex Retrieval Queries,buzzoverflow
What is the average score of answered questions?,Complex Retrieval Queries,buzzoverflow
List the tags associated with unanswered questions.,Complex Retrieval Queries,buzzoverflow
Which user asked the most recent question?,Complex Retrieval Queries,buzzoverflow
Find the question with the oldest creation date.,Complex Retrieval Queries,buzzoverflow
What is the title of the question with the most downvotes?,Complex Retrieval Queries,buzzoverflow
List the tags of the question with the link 'https://stackoverflow.com/questions/62224586/playground-is-not-loading-with-apollo-server-lambda'.,Complex Retrieval Queries,buzzoverflow
Find the question with the most recent creation date and a score greater than 0.,Complex Retrieval Queries,buzzoverflow
What is the average score of questions asked by users with a reputation greater than 1000?,Complex Retrieval Queries,buzzoverflow
List the questions tagged with 'graphql' and have a score less than the average score of all questions.,Complex Retrieval Queries,buzzoverflow
Which user asked the question with the highest number of favorites?,Complex Retrieval Queries,buzzoverflow
"Find the questions with a score greater than 0 and are tagged with at least one of the following tags: 'apollo', 'graphql'.",Complex Retrieval Queries,buzzoverflow
List the tags associated with the top 3 questions with the highest score.,Complex Retrieval Queries,buzzoverflow
"Find the questions created before June 5, 2020, and have a score greater than the average score of questions created after June 5, 2020.",Complex Retrieval Queries,buzzoverflow
Which user asked the question with the title 'Playground is not loading with apollo-server-lambda'?,Complex Retrieval Queries,buzzoverflow
What is the text of the question with the most upvotes?,Complex Retrieval Queries,buzzoverflow
List the questions that have more upvotes than downvotes.,Complex Retrieval Queries,buzzoverflow
Find the tags associated with questions that have a score equal to the average score of all questions.,Complex Retrieval Queries,buzzoverflow
What is the average reputation of users who asked questions tagged with 'react-apollo'?,Complex Retrieval Queries,buzzoverflow
List the questions asked by users with a reputation greater than 10000 and tagged with 'graphql'.,Complex Retrieval Queries,buzzoverflow
Find the question with the most downvotes and is tagged with 'node.js'.,Complex Retrieval Queries,buzzoverflow
What is the title of the question with the oldest creation date and a score less than 0?,Complex Retrieval Queries,buzzoverflow
List the tags of the question with the most recent creation date and a score greater than 0.,Complex Retrieval Queries,buzzoverflow
Which user asked the question with the least number of favorites?,Complex Retrieval Queries,buzzoverflow
Find the questions tagged with both 'apollo' and 'graphql' and have a score greater than 0.,Complex Retrieval Queries,buzzoverflow
What is the average number of downvotes for unanswered questions?,Complex Retrieval Queries,buzzoverflow
List the questions asked by users with a reputation between 100 and 1000.,Complex Retrieval Queries,buzzoverflow
Find the question with the most upvotes and a score less than 0.,Complex Retrieval Queries,buzzoverflow
What is the title of the question with the most favorites and a score greater than 0?,Complex Retrieval Queries,buzzoverflow
List the tags of the question asked by the user with the highest reputation.,Complex Retrieval Queries,buzzoverflow
Which user asked the question with the link 'https://stackoverflow.com/questions/60373778/nuxt-appolo-module-how-to-send-authorization-header'?,Complex Retrieval Queries,buzzoverflow
Find the question with the least number of downvotes and is tagged with 'react-apollo'.,Complex Retrieval Queries,buzzoverflow
What is the text of the question with the oldest creation date and a score equal to 0?,Complex Retrieval Queries,buzzoverflow
List the tags associated with questions that have a score greater than the average score of answered questions.,Complex Retrieval Queries,buzzoverflow
What is the average reputation of users who asked questions tagged with 'aws-lambda'?,Complex Retrieval Queries,buzzoverflow
List the questions asked by users with a reputation less than the average reputation of all users.,Complex Retrieval Queries,buzzoverflow
Find the question with the most downvotes and a score equal to the average score of all questions.,Complex Retrieval Queries,buzzoverflow
What is the title of the question with the most upvotes and is tagged with 'node.js'?,Complex Retrieval Queries,buzzoverflow
List the tags of the question asked by the user with the lowest reputation.,Complex Retrieval Queries,buzzoverflow
Which user asked the question with the link 'https://stackoverflow.com/questions/57503591/getting-error-mutations-defined-in-resolvers-but-not-in-schema'?,Complex Retrieval Queries,buzzoverflow
Find the question with the least number of upvotes and is tagged with 'apollo'.,Complex Retrieval Queries,buzzoverflow
What is the text of the question with the most recent creation date and a score less than 0?,Complex Retrieval Queries,buzzoverflow
List the tags associated with questions that have a score less than the average score of unanswered questions.,Complex Retrieval Queries,buzzoverflow
What is the average score of questions asked by users with a display name that starts with 'A'?,Complex Retrieval Queries,buzzoverflow
List the questions asked by users with a display name that contains 'Alex' and tagged with 'graphql'.,Complex Retrieval Queries,buzzoverflow
Find the question with the most upvotes and a score equal to the average score of questions tagged with 'react-apollo'.,Complex Retrieval Queries,buzzoverflow
What is the title of the question with the most downvotes and is tagged with 'aws-lambda'?,Complex Retrieval Queries,buzzoverflow
List the tags of the question asked by the user with the most number of asked questions.,Complex Retrieval Queries,buzzoverflow
Which user asked the question with the link 'https://stackoverflow.com/questions/62222021/react-w-apollo-drupal-nodequery-how-to-define-pass-variables'?,Complex Retrieval Queries,buzzoverflow
Find the question with the least number of downvotes and a score greater than the average score of all questions.,Complex Retrieval Queries,buzzoverflow
What is the text of the question with the oldest creation date and a score greater than the average score of all questions?,Complex Retrieval Queries,buzzoverflow
List the tags associated with questions that have a score equal to 0 and are tagged with 'apollo'.,Complex Retrieval Queries,buzzoverflow
What is the average reputation of users who asked questions with a title that contains 'apollo'?,Complex Retrieval Queries,buzzoverflow
List the questions asked by users with a reputation greater than the average reputation of users who asked questions tagged with 'graphql'.,Complex Retrieval Queries,buzzoverflow
Find the question with the most downvotes and a score less than the average score of questions tagged with 'node.js'.,Complex Retrieval Queries,buzzoverflow
"What is the title of the question with the most upvotes and a creation date before June 5, 2020?",Complex Retrieval Queries,buzzoverflow
List the tags of the question asked by the user with the least number of asked questions and a reputation greater than 1000.,Complex Retrieval Queries,buzzoverflow
Which user asked the question with the most number of upvotes and a score less than 0?,Complex Retrieval Queries,buzzoverflow
Find the question with the least number of upvotes and a score greater than the average score of questions tagged with 'aws-lambda'.,Complex Retrieval Queries,buzzoverflow
What is the text of the question with the most recent creation date and a score equal to the average score of all questions?,Complex Retrieval Queries,buzzoverflow
List the tags associated with questions that have a score greater than 0 and are tagged with 'react-apollo' and 'graphql'.,Complex Retrieval Queries,buzzoverflow
What is the average reputation of users who asked questions with a title that contains 'graphql'?,Complex Retrieval Queries,buzzoverflow
List the questions asked by users with a reputation less than 100 and a display name that starts with 'A'.,Complex Retrieval Queries,buzzoverflow
"Find the question with the most downvotes and a creation date after June 5, 2020, and a score less than 0.",Complex Retrieval Queries,buzzoverflow
What is the title of the question with the least number of downvotes and a score equal to the average score of questions tagged with 'apollo'?,Complex Retrieval Queries,buzzoverflow
List the tags of the question asked by the user with the most number of asked questions and a score greater than 0.,Complex Retrieval Queries,buzzoverflow
"Which user asked the question with the most number of downvotes and a creation date before June 5, 2020?",Complex Retrieval Queries,buzzoverflow
Find the question with the least number of upvotes and a score less than the average score of questions tagged with 'react-apollo'.,Complex Retrieval Queries,buzzoverflow
Which questions have a score greater than 0 and are tagged with 'graphql'?,Simple Aggregation Queries,buzzoverflow
What are the titles of the top 3 questions sorted by the number of upvotes in descending order?,Simple Aggregation Queries,buzzoverflow
Find the users who asked questions tagged with 'graphql' and sort them by their reputation in descending order. Return the top 5.,Simple Aggregation Queries,buzzoverflow
What is the average score of questions tagged with 'apollo'?,Simple Aggregation Queries,buzzoverflow
What is the total number of questions asked by the user with display name 'Christopher'?,Simple Aggregation Queries,buzzoverflow
List the questions with the tag 'graphql' ordered by their creation date in descending order and return the first 3.,Simple Aggregation Queries,buzzoverflow
What is the average number of downvotes for questions tagged with 'graphql'?,Simple Aggregation Queries,buzzoverflow
Which user has asked the question with the highest score?,Simple Aggregation Queries,buzzoverflow
What is the highest reputation among users who have asked questions tagged with 'apollo'?,Simple Aggregation Queries,buzzoverflow
How many questions are tagged with both 'graphql' and 'apollo'?,Simple Aggregation Queries,buzzoverflow
"What is the average score for questions asked after June 5, 2020?",Simple Aggregation Queries,buzzoverflow
Which tag is associated with the most questions?,Simple Aggregation Queries,buzzoverflow
What is the average reputation of users who asked questions tagged with 'graphql'?,Simple Aggregation Queries,buzzoverflow
List the top 3 users with the highest reputation who asked questions tagged with 'graphql'.,Simple Aggregation Queries,buzzoverflow
What is the time difference between the earliest and latest created questions in the database?,Simple Aggregation Queries,buzzoverflow
How many questions were answered and have a score greater than 0?,Simple Aggregation Queries,buzzoverflow
What is the average number of upvotes for answered questions?,Simple Aggregation Queries,buzzoverflow
Find the question with the most upvotes.,Simple Aggregation Queries,buzzoverflow
Which user asked the question with the oldest creation date?,Simple Aggregation Queries,buzzoverflow
What is the total number of questions in the database?,Simple Aggregation Queries,buzzoverflow
How many users have a reputation higher than 1000?,Simple Aggregation Queries,buzzoverflow
List the titles of questions that have more upvotes than downvotes and are tagged with 'graphql'.,Simple Aggregation Queries,buzzoverflow
What is the average score of questions that are not answered?,Simple Aggregation Queries,buzzoverflow
What is the title of the question with the highest number of favorites and tagged with 'apollo'?,Simple Aggregation Queries,buzzoverflow
Which tags are associated with questions that have a score greater than 5?,Simple Aggregation Queries,buzzoverflow
Find the question with the most downvotes.,Simple Aggregation Queries,buzzoverflow
What is the average reputation of users who asked questions tagged with 'apollo'?,Simple Aggregation Queries,buzzoverflow
"List the display names of users who asked questions with a score greater than 2, ordered by their reputation in descending order.",Simple Aggregation Queries,buzzoverflow
What is the title of the oldest unanswered question?,Simple Aggregation Queries,buzzoverflow
Find the question with the least number of favorites.,Simple Aggregation Queries,buzzoverflow
List the users who asked questions tagged with both 'graphql' and 'apollo'.,Simple Aggregation Queries,buzzoverflow
What is the average number of favorites for questions tagged with 'graphql'?,Simple Aggregation Queries,buzzoverflow
What is the title of the question with the lowest score?,Simple Aggregation Queries,buzzoverflow
Which questions have a score lower than 0 and are tagged with 'apollo'?,Simple Aggregation Queries,buzzoverflow
Find the user with the highest reputation who asked a question tagged with 'graphql'.,Simple Aggregation Queries,buzzoverflow
What is the time difference between the creation dates of the first and last questions asked by the user 'Christopher'?,Simple Aggregation Queries,buzzoverflow
How many questions were asked by users with a reputation greater than 10000?,Simple Aggregation Queries,buzzoverflow
List the tags associated with questions that have more downvotes than upvotes.,Simple Aggregation Queries,buzzoverflow
What is the average score for questions asked by users with a reputation lower than 100?,Simple Aggregation Queries,buzzoverflow
Find the user who asked the question with the highest number of favorites.,Simple Aggregation Queries,buzzoverflow
Which questions are tagged with 'graphql' but not with 'apollo'?,Simple Aggregation Queries,buzzoverflow
What is the total number of upvotes for all questions in the database?,Simple Aggregation Queries,buzzoverflow
